a,b,res
0.27,0.76,419319.65
0.27,0.77,419319.65
0.27,0.78,419319.65
0.27,0.79,419319.65
0.27,0.8,419319.65
0.27,0.81,419319.65
0.27,0.8200000000000001,419319.65
0.27,0.8300000000000001,419319.65
0.27,0.84,419319.65
0.27,0.85,419319.65
0.27,0.86,419319.65
0.27,0.87,419319.65
0.27,0.88,419319.65
0.27,0.89,419319.65
0.27,0.9,419319.65
0.27,0.91,418546.31999999995
0.27,0.92,418546.31999999995
0.27,0.93,418546.31999999995
0.27,0.9400000000000001,418546.31999999995
0.27,0.9500000000000001,418546.31999999995
0.27,0.96,418546.31999999995
0.27,0.97,418546.31999999995
0.27,0.98,418546.31999999995
0.27,0.99,418546.31999999995
0.27,1.0,418546.31999999995
0.28,0.0,277396.48000000004
0.28,0.01,385782.26
0.28,0.02,390440.0
0.28,0.03,393494.59
0.28,0.04,398288.33
0.28,0.05,404087.52
0.28,0.06,406882.44
0.28,0.07,411449.9
0.28,0.08,411278.16
0.28,0.09,412521.32
0.28,0.1,412862.51
0.28,0.11,412983.18
0.28,0.12,412094.22
0.28,0.13,413522.19
0.28,0.14,411864.58
0.28,0.15,412510.16000000003
0.28,0.16,414285.78
0.28,0.17,415442.66000000003
0.28,0.18,416124.66000000003
0.28,0.19,417643.63
0.28,0.2,417933.75
0.28,0.21,418582.74000000005
0.28,0.22,418820.62
0.28,0.23,418923.45
0.28,0.24,420253.82
0.28,0.25,421126.06
0.28,0.26,421144.27999999997
0.28,0.27,421393.11
0.28,0.28,421346.24
0.28,0.29,421330.32000000007
0.28,0.3,421453.31000000006
0.28,0.31,421488.65
0.28,0.32,422024.7
0.28,0.33,422263.19
0.28,0.34,422169.67
0.28,0.35000000000000003,422271.5
0.28,0.36,422296.61
0.28,0.37,422198.63
0.28,0.38,422367.33
0.28,0.39,422312.11
0.28,0.4,422261.01
0.28,0.41000000000000003,422513.89
0.28,0.42,422328.47
0.28,0.43,422384.26
0.28,0.44,422488.33
0.28,0.45,422684.9
0.28,0.46,423024.30999999994
0.28,0.47000000000000003,423146.86
0.28,0.48,423246.68
0.28,0.49,423296.30000000005
0.28,0.5,423296.30000000005
0.28,0.51,423492.87
0.28,0.52,423583.39
0.28,0.53,423678.0
0.28,0.54,423678.0
0.28,0.55,423854.1
0.28,0.56,423976.31
0.28,0.5700000000000001,423784.22
0.28,0.58,423825.94
0.28,0.59,423759.05000000005
0.28,0.6,423633.18999999994
0.28,0.61,423616.32999999996
0.28,0.62,423616.32999999996
0.28,0.63,423822.51
0.28,0.64,423822.51
0.28,0.65,423699.1
0.28,0.66,423661.44
0.28,0.67,423406.4
0.28,0.68,423364.45999999996
0.28,0.6900000000000001,423139.64
0.28,0.7000000000000001,422591.19999999995
0.28,0.71,420569.78
0.28,0.72,419573.86
0.28,0.73,419425.14
0.28,0.74,419319.65
0.28,0.75,419319.65
0.28,0.76,419319.65
0.28,0.77,419319.65
0.28,0.78,419319.65
0.28,0.79,419319.65
0.28,0.8,419319.65
0.28,0.81,419319.65
0.28,0.8200000000000001,419319.65
0.28,0.8300000000000001,419319.65
0.28,0.84,419319.65
0.28,0.85,419319.65
0.28,0.86,419319.65
0.28,0.87,419319.65
0.28,0.88,419319.65
0.28,0.89,419319.65
0.28,0.9,419319.65
0.28,0.91,419319.65
0.28,0.92,419319.65
0.28,0.93,419319.65
0.28,0.9400000000000001,419319.65
0.28,0.9500000000000001,418546.31999999995
0.28,0.96,418546.31999999995
0.28,0.97,418546.31999999995
0.28,0.98,418546.31999999995
0.28,0.99,418546.31999999995
0.28,1.0,418546.31999999995
0.29,0.0,277310.82
0.29,0.01,385814.64
0.29,0.02,390097.65
0.29,0.03,393701.83
0.29,0.04,399442.45
0.29,0.05,405176.16000000003
0.29,0.06,406230.72
0.29,0.07,411521.5
0.29,0.08,411471.63
0.29,0.09,412464.97
0.29,0.1,411998.0
0.29,0.11,411711.72000000003
0.29,0.12,412192.36000000004
0.29,0.13,412556.76
0.29,0.14,411716.81
0.29,0.15,412061.25
0.29,0.16,413428.64
0.29,0.17,414762.67000000004
0.29,0.18,416492.72
0.29,0.19,417064.59
0.29,0.2,416995.23
0.29,0.21,418095.87
0.29,0.22,418633.31
0.29,0.23,418749.07
0.29,0.24,419127.13
0.29,0.25,420922.31
0.29,0.26,420754.74
0.29,0.27,420926.99
0.29,0.28,420955.33
0.29,0.29,421330.32000000007
0.29,0.3,421381.02
0.29,0.31,421363.95
0.29,0.32,421731.63
0.29,0.33,421998.25
0.29,0.34,422546.6
0.29,0.35000000000000003,422479.42000000004
0.29,0.36,422297.76
0.29,0.37,422132.57
0.29,0.38,422157.37
0.29,0.39,421946.75
0.29,0.4,422408.85
0.29,0.41000000000000003,422489.18
0.29,0.42,422413.97000000003
0.29,0.43,422308.48
0.29,0.44,422291.76
0.29,0.45,422792.52
0.29,0.46,422827.17
0.29,0.47000000000000003,423098.95
0.29,0.48,423360.13
0.29,0.49,423360.13
0.29,0.5,423371.75
0.29,0.51,423296.30000000005
0.29,0.52,423678.0
0.29,0.53,423678.0
0.29,0.54,423678.0
0.29,0.55,423619.51
0.29,0.56,423619.51
0.29,0.5700000000000001,423689.72
0.29,0.58,423795.20999999996
0.29,0.59,423825.94
0.29,0.6,423683.22
0.29,0.61,423616.32999999996
0.29,0.62,423616.32999999996
0.29,0.63,423616.32999999996
0.29,0.64,423208.44000000006
0.29,0.65,423661.44
0.29,0.66,423538.03
0.29,0.67,423338.91000000003
0.29,0.68,423114.08999999997
0.29,0.6900000000000001,421129.94
0.29,0.7000000000000001,420569.78
0.29,0.71,419573.86
0.29,0.72,419266.83999999997
0.29,0.73,419266.83999999997
0.29,0.74,419266.83999999997
0.29,0.75,419266.83999999997
0.29,0.76,419319.65
0.29,0.77,419319.65
0.29,0.78,419319.65
0.29,0.79,419319.65
0.29,0.8,419319.65
0.29,0.81,419319.65
0.29,0.8200000000000001,419319.65
0.29,0.8300000000000001,419319.65
0.29,0.84,419319.65
0.29,0.85,419319.65
0.29,0.86,419319.65
0.29,0.87,419319.65
0.29,0.88,419319.65
0.29,0.89,419319.65
0.29,0.9,419319.65
0.29,0.91,419319.65
0.29,0.92,419319.65
0.29,0.93,419319.65
0.29,0.9400000000000001,419319.65
0.29,0.9500000000000001,419319.65
0.29,0.96,419319.65
0.29,0.97,419319.65
0.29,0.98,418546.31999999995
0.29,0.99,418546.31999999995
0.29,1.0,418546.31999999995
0.3,0.0,277101.8400000001
0.3,0.01,385289.43
0.3,0.02,389880.62
0.3,0.03,394288.37
0.3,0.04,398914.96
0.3,0.05,403486.95
0.3,0.06,405870.82
0.3,0.07,411765.4
0.3,0.08,410717.57
0.3,0.09,411653.82
0.3,0.1,412537.04000000004
0.3,0.11,411950.28
0.3,0.12,412105.89
0.3,0.13,411595.21
0.3,0.14,411757.14
0.3,0.15,412141.86
0.3,0.16,412406.11
0.3,0.17,414831.99
0.3,0.18,415728.71
0.3,0.19,416345.95000000007
0.3,0.2,417011.42
0.3,0.21,417886.18000000005
0.3,0.22,418809.07
0.3,0.23,418537.29000000004
0.3,0.24,419096.01
0.3,0.25,419226.2
0.3,0.26,420765.45999999996
0.3,0.27,420923.24
0.3,0.28,421061.45999999996
0.3,0.29,421447.6
0.3,0.3,421326.65
0.3,0.31,421397.48000000004
0.3,0.32,421525.44999999995
0.3,0.33,421614.74
0.3,0.34,422246.9
0.3,0.35000000000000003,422605.78
0.3,0.36,422315.38
0.3,0.37,421994.99
0.3,0.38,421681.15
0.3,0.39,422309.33
0.3,0.4,422217.74
0.3,0.41000000000000003,422413.97000000003
0.3,0.42,422413.97000000003
0.3,0.43,422396.68
0.3,0.44,422532.13
0.3,0.45,422758.79000000004
0.3,0.46,422705.81
0.3,0.47000000000000003,422902.38
0.3,0.48,423148.81
0.3,0.49,423184.03
0.3,0.5,423360.13
0.3,0.51,423462.27
0.3,0.52,423556.88
0.3,0.53,423481.43
0.3,0.54,423619.51
0.3,0.55,423619.51
0.3,0.56,423513.62
0.3,0.5700000000000001,423513.62
0.3,0.58,423513.62
0.3,0.59,423547.0
0.3,0.6,423652.49
0.3,0.61,423683.22
0.3,0.62,423559.81
0.3,0.63,423208.44000000006
0.3,0.64,423455.26
0.3,0.65,423331.85000000003
0.3,0.66,422886.18000000005
0.3,0.67,423114.08999999997
0.3,0.68,421275.01
0.3,0.6900000000000001,420420.82
0.3,0.7000000000000001,419241.29
0.3,0.71,419219.63
0.3,0.72,419266.83999999997
0.3,0.73,419266.83999999997
0.3,0.74,419266.83999999997
0.3,0.75,419266.83999999997
0.3,0.76,419266.83999999997
0.3,0.77,419266.83999999997
0.3,0.78,419266.83999999997
0.3,0.79,419319.65
0.3,0.8,419319.65
0.3,0.81,419319.65
0.3,0.8200000000000001,419319.65
0.3,0.8300000000000001,419319.65
0.3,0.84,419319.65
0.3,0.85,419319.65
0.3,0.86,419319.65
0.3,0.87,419319.65
0.3,0.88,419319.65
0.3,0.89,419319.65
0.3,0.9,419319.65
0.3,0.91,419319.65
0.3,0.92,419319.65
0.3,0.93,419319.65
0.3,0.9400000000000001,419319.65
0.3,0.9500000000000001,419319.65
0.3,0.96,419319.65
0.3,0.97,419319.65
0.3,0.98,419319.65
0.3,0.99,419319.65
0.3,1.0,419319.65
0.31,0.0,276924.83999999997
0.31,0.01,385174.39999999997
0.31,0.02,389525.16000000003
0.31,0.03,393895.67000000004
0.31,0.04,398517.72000000003
0.31,0.05,403487.12
0.31,0.06,405275.1
0.31,0.07,411497.79000000004
0.31,0.08,410871.44999999995
0.31,0.09,410861.64
0.31,0.1,413146.15
0.31,0.11,411670.79000000004
0.31,0.12,411795.52
0.31,0.13,411683.3
0.31,0.14,412183.41000000003
0.31,0.15,412085.35
0.31,0.16,412540.74
0.31,0.17,412930.76
0.31,0.18,415631.34
0.31,0.19,416115.6
0.31,0.2,416686.68
0.31,0.21,416686.67000000004
0.31,0.22,417864.92
0.31,0.23,418543.02999999997
0.31,0.24,419223.94
0.31,0.25,419244.43
0.31,0.26,419405.05999999994
0.31,0.27,420870.19
0.31,0.28,421083.37
0.31,0.29,421217.98
0.31,0.3,421334.23000000004
0.31,0.31,421307.48
0.31,0.32,421449.01
0.31,0.33,421718.88
0.31,0.34,421833.28
0.31,0.35000000000000003,421697.88
0.31,0.36,422021.97
0.31,0.37,421919.18000000005
0.31,0.38,421792.87
0.31,0.39,422234.12
0.31,0.4,422259.23
0.31,0.41000000000000003,422268.84
0.31,0.42,422396.68
0.31,0.43,422560.09
0.31,0.44,422864.28
0.31,0.45,422810.73
0.31,0.46,422705.24
0.31,0.47000000000000003,422755.67
0.31,0.48,422952.24
0.31,0.49,422952.24
0.31,0.5,423239.33
0.31,0.51,423545.26
0.31,0.52,423470.05000000005
0.31,0.53,423481.67000000004
0.31,0.54,423498.39
0.31,0.55,423317.05000000005
0.31,0.56,423513.62
0.31,0.5700000000000001,423513.62
0.31,0.58,423370.9
0.31,0.59,423370.9
0.31,0.6,423370.9
0.31,0.61,423423.58999999997
0.31,0.62,423244.6
0.31,0.63,423522.15
0.31,0.64,423126.10000000003
0.31,0.65,422891.58
0.31,0.66,423031.32
0.31,0.67,421068.82999999996
0.31,0.68,420214.64
0.31,0.6900000000000001,419241.29
0.31,0.7000000000000001,419241.29
0.31,0.71,419241.29
0.31,0.72,419241.29
0.31,0.73,419241.29
0.31,0.74,419219.63
0.31,0.75,419266.83999999997
0.31,0.76,419266.83999999997
0.31,0.77,419266.83999999997
0.31,0.78,419266.83999999997
0.31,0.79,419266.83999999997
0.31,0.8,419266.83999999997
0.31,0.81,419319.65
0.31,0.8200000000000001,419319.65
0.31,0.8300000000000001,419319.65
0.31,0.84,419319.65
0.31,0.85,419319.65
0.31,0.86,419319.65
0.31,0.87,419319.65
0.31,0.88,419319.65
0.31,0.89,419319.65
0.31,0.9,419319.65
0.31,0.91,419319.65
0.31,0.92,419319.65
0.31,0.93,419319.65
0.31,0.9400000000000001,419319.65
0.31,0.9500000000000001,419319.65
0.31,0.96,419319.65
0.31,0.97,419319.65
0.31,0.98,419319.65
0.31,0.99,419319.65
0.31,1.0,419319.65
0.32,0.0,276389.39
0.32,0.01,385109.6
0.32,0.02,388667.28
0.32,0.03,393343.48000000004
0.32,0.04,397970.61
0.32,0.05,403844.14
0.32,0.06,405498.80000000005
0.32,0.07,409651.68000000005
0.32,0.08,407715.81
0.32,0.09,409998.65
0.32,0.1,412460.31000000006
0.32,0.11,412217.93
0.32,0.12,412240.76
0.32,0.13,411472.98
0.32,0.14,411532.62
0.32,0.15,412595.37
0.32,0.16,412995.82
0.32,0.17,413246.58999999997
0.32,0.18,414975.08
0.32,0.19,415727.39
0.32,0.2,416072.66000000003
0.32,0.21,416460.52
0.32,0.22,417074.27
0.32,0.23,418201.91000000003
0.32,0.24,419028.84
0.32,0.25,419323.29
0.32,0.26,419438.58999999997
0.32,0.27,420593.13
0.32,0.28,421083.37
0.32,0.29,421205.13
0.32,0.3,421124.47000000003
0.32,0.31,421393.79
0.32,0.32,421392.56
0.32,0.33,421298.48
0.32,0.34,421358.29
0.32,0.35000000000000003,421305.92000000004
0.32,0.36,421461.69
0.32,0.37,421975.68
0.32,0.38,422599.74
0.32,0.39,422442.04000000004
0.32,0.4,422259.23
0.32,0.41000000000000003,422422.64
0.32,0.42,422405.35
0.32,0.43,422895.20999999996
0.32,0.44,422810.73
0.32,0.45,422810.73
0.32,0.46,422860.58999999997
0.32,0.47000000000000003,422755.1
0.32,0.48,422755.1
0.32,0.49,422846.19
0.32,0.5,423137.37
0.32,0.51,423258.73
0.32,0.52,423258.73
0.32,0.53,423486.77
0.32,0.54,423339.16000000003
0.32,0.55,423392.5
0.32,0.56,423317.05000000005
0.32,0.5700000000000001,423174.33
0.32,0.58,423370.9
0.32,0.59,423370.9
0.32,0.6,423247.49
0.32,0.61,423209.83
0.32,0.62,423209.83
0.32,0.63,422989.88
0.32,0.64,422841.59
0.32,0.65,423184.36
0.32,0.66,420974.05
0.32,0.67,420338.05000000005
0.32,0.68,419035.11
0.32,0.6900000000000001,419035.11
0.32,0.7000000000000001,419035.11
0.32,0.71,419035.11
0.32,0.72,419241.29
0.32,0.73,419241.29
0.32,0.74,419241.29
0.32,0.75,419241.29
0.32,0.76,419219.63
0.32,0.77,419266.83999999997
0.32,0.78,419266.83999999997
0.32,0.79,419266.83999999997
0.32,0.8,419266.83999999997
0.32,0.81,419266.83999999997
0.32,0.8200000000000001,419266.83999999997
0.32,0.8300000000000001,419266.83999999997
0.32,0.84,419319.65
0.32,0.85,419319.65
0.32,0.86,419319.65
0.32,0.87,419319.65
0.32,0.88,419319.65
0.32,0.89,419319.65
0.32,0.9,419319.65
0.32,0.91,419319.65
0.32,0.92,419319.65
0.32,0.93,419319.65
0.32,0.9400000000000001,419319.65
0.32,0.9500000000000001,419319.65
0.32,0.96,419319.65
0.32,0.97,419319.65
0.32,0.98,419319.65
0.32,0.99,419319.65
0.32,1.0,419319.65
0.33,0.0,276114.94
0.33,0.01,384853.73
0.33,0.02,387915.23
0.33,0.03,392827.24
0.33,0.04,397850.01
0.33,0.05,402184.35
0.33,0.06,405004.27
0.33,0.07,406597.4
0.33,0.08,407803.18000000005
0.33,0.09,409188.09
0.33,0.1,411318.38
0.33,0.11,411971.43000000005
0.33,0.12,412226.58999999997
0.33,0.13,410867.13
0.33,0.14,411411.52
0.33,0.15,412907.06000000006
0.33,0.16,412800.69000000006
0.33,0.17,413029.67
0.33,0.18,413809.24
0.33,0.19,415681.78
0.33,0.2,415824.09
0.33,0.21,416404.78
0.33,0.22,416692.16000000003
0.33,0.23,418077.03
0.33,0.24,418712.43
0.33,0.25,419315.78
0.33,0.26,419446.45999999996
0.33,0.27,419644.12
0.33,0.28,420672.36
0.33,0.29,420994.38
0.33,0.3,421056.4
0.33,0.31,420852.02999999997
0.33,0.32,420989.02999999997
0.33,0.33,421247.78
0.33,0.34,421174.94999999995
0.33,0.35000000000000003,421230.71
0.33,0.36,421255.51
0.33,0.37,421410.58999999997
0.33,0.38,422599.74
0.33,0.39,422713.05000000005
0.33,0.4,422605.45
0.33,0.41000000000000003,422405.35
0.33,0.42,422405.35
0.33,0.43,422709.54000000004
0.33,0.44,422665.6
0.33,0.45,422810.73
0.33,0.46,422860.58999999997
0.33,0.47000000000000003,422860.58999999997
0.33,0.48,422860.58999999997
0.33,0.49,422865.02
0.33,0.5,422865.58999999997
0.33,0.51,423062.16000000003
0.33,0.52,423078.88
0.33,0.53,423127.83999999997
0.33,0.54,423204.78
0.33,0.55,423380.88
0.33,0.56,423338.55000000005
0.33,0.5700000000000001,423249.78
0.33,0.58,423050.92000000004
0.33,0.59,422766.44000000006
0.33,0.6,423209.83
0.33,0.61,423209.83
0.33,0.62,422813.78
0.33,0.63,422560.0
0.33,0.64,422637.66
0.33,0.65,420837.83
0.33,0.66,420454.79000000004
0.33,0.67,419102.0
0.33,0.68,419102.0
0.33,0.6900000000000001,419035.11
0.33,0.7000000000000001,419035.11
0.33,0.71,419035.11
0.33,0.72,419035.11
0.33,0.73,419035.11
0.33,0.74,419241.29
0.33,0.75,419241.29
0.33,0.76,419241.29
0.33,0.77,419241.29
0.33,0.78,419241.29
0.33,0.79,419219.63
0.33,0.8,419266.83999999997
0.33,0.81,419266.83999999997
0.33,0.8200000000000001,419266.83999999997
0.33,0.8300000000000001,419266.83999999997
0.33,0.84,419266.83999999997
0.33,0.85,419266.83999999997
0.33,0.86,419425.14
0.33,0.87,419319.65
0.33,0.88,419319.65
0.33,0.89,419319.65
0.33,0.9,419319.65
0.33,0.91,419319.65
0.33,0.92,419319.65
0.33,0.93,419319.65
0.33,0.9400000000000001,419319.65
0.33,0.9500000000000001,419319.65
0.33,0.96,419319.65
0.33,0.97,419319.65
0.33,0.98,419319.65
0.33,0.99,419319.65
0.33,1.0,419319.65
0.34,0.0,276016.11
0.34,0.01,384913.83999999997
0.34,0.02,387167.13
0.34,0.03,391936.52
0.34,0.04,396902.04000000004
0.34,0.05,401845.67
0.34,0.06,404921.70999999996
0.34,0.07,405172.99000000005
0.34,0.08,407929.35000000003
0.34,0.09,408569.56
0.34,0.1,410796.1
0.34,0.11,412320.48
0.34,0.12,411128.89
0.34,0.13,410673.22000000003
0.34,0.14,411816.73000000004
0.34,0.15,412308.21
0.34,0.16,412243.13
0.34,0.17,413181.31
0.34,0.18,413555.69000000006
0.34,0.19,414742.54000000004
0.34,0.2,415686.43
0.34,0.21,416227.45
0.34,0.22,416883.78
0.34,0.23,417793.69000000006
0.34,0.24,418677.12
0.34,0.25,419239.33999999997
0.34,0.26,419212.45999999996
0.34,0.27,419513.69
0.34,0.28,419635.44999999995
0.34,0.29,420310.1
0.34,0.3,420764.6
0.34,0.31,420764.6
0.34,0.32,420950.89
0.34,0.33,421172.57
0.34,0.34,421064.98
0.34,0.35000000000000003,421089.78
0.34,0.36,421204.41000000003
0.34,0.37,421916.67000000004
0.34,0.38,422223.17000000004
0.34,0.39,422788.26
0.34,0.4,422788.26
0.34,0.41000000000000003,422588.16000000003
0.34,0.42,422892.35
0.34,0.43,422655.99
0.34,0.44,422655.99
0.34,0.45,422715.46
0.34,0.46,422860.58999999997
0.34,0.47000000000000003,422860.58999999997
0.34,0.48,422875.9
0.34,0.49,422970.51
0.34,0.5,422865.02
0.34,0.51,422881.74
0.34,0.52,422882.31
0.34,0.53,422972.99
0.34,0.54,422972.99
0.34,0.55,423043.69999999995
0.34,0.56,423238.16000000003
0.34,0.5700000000000001,423114.75
0.34,0.58,422841.89
0.34,0.59,423088.7100000001
0.34,0.6,422889.85000000003
0.34,0.61,422813.78
0.34,0.62,422450.03
0.34,0.63,422637.66
0.34,0.64,419962.23000000004
0.34,0.65,420173.2
0.34,0.66,418789.68
0.34,0.67,418965.78
0.34,0.68,419071.27
0.34,0.6900000000000001,419102.0
0.34,0.7000000000000001,419102.0
0.34,0.71,419102.0
0.34,0.72,419035.11
0.34,0.73,419035.11
0.34,0.74,419035.11
0.34,0.75,419035.11
0.34,0.76,419241.29
0.34,0.77,419241.29
0.34,0.78,419241.29
0.34,0.79,419241.29
0.34,0.8,419241.29
0.34,0.81,419219.63
0.34,0.8200000000000001,419266.83999999997
0.34,0.8300000000000001,419266.83999999997
0.34,0.84,419266.83999999997
0.34,0.85,419266.83999999997
0.34,0.86,419266.83999999997
0.34,0.87,419266.83999999997
0.34,0.88,419266.83999999997
0.34,0.89,419319.65
0.34,0.9,419319.65
0.34,0.91,419319.65
0.34,0.92,419319.65
0.34,0.93,419319.65
0.34,0.9400000000000001,419319.65
0.34,0.9500000000000001,419319.65
0.34,0.96,419319.65
0.34,0.97,419319.65
0.34,0.98,419319.65
0.34,0.99,419319.65
0.34,1.0,419319.65
0.35000000000000003,0.0,274993.86
0.35000000000000003,0.01,380752.74
0.35000000000000003,0.02,387075.88
0.35000000000000003,0.03,390969.34
0.35000000000000003,0.04,397817.77
0.35000000000000003,0.05,400860.37
0.35000000000000003,0.06,404798.36
0.35000000000000003,0.07,404769.01
0.35000000000000003,0.08,406954.33999999997
0.35000000000000003,0.09,407949.27999999997
0.35000000000000003,0.1,409353.77
0.35000000000000003,0.11,411740.86
0.35000000000000003,0.12,411060.67000000004
0.35000000000000003,0.13,410396.15
0.35000000000000003,0.14,411885.76
0.35000000000000003,0.15,411643.72000000003
0.35000000000000003,0.16,412519.45
0.35000000000000003,0.17,413109.45
0.35000000000000003,0.18,413391.47000000003
0.35000000000000003,0.19,413483.32999999996
0.35000000000000003,0.2,415232.38
0.35000000000000003,0.21,416000.42
0.35000000000000003,0.22,416851.5
0.35000000000000003,0.23,417365.44
0.35000000000000003,0.24,417800.14
0.35000000000000003,0.25,418831.9199999999
0.35000000000000003,0.26,419389.65
0.35000000000000003,0.27,419070.37
0.35000000000000003,0.28,419044.83999999997
0.35000000000000003,0.29,419198.61
0.35000000000000003,0.3,420287.05
0.35000000000000003,0.31,420760.85
0.35000000000000003,0.32,420964.38
0.35000000000000003,0.33,420978.38
0.35000000000000003,0.34,421064.98
0.35000000000000003,0.35000000000000003,421177.98
0.35000000000000003,0.36,421202.08999999997
0.35000000000000003,0.37,421965.89
0.35000000000000003,0.38,422016.99
0.35000000000000003,0.39,422223.17000000004
0.35000000000000003,0.4,422588.16000000003
0.35000000000000003,0.41000000000000003,423075.16000000003
0.35000000000000003,0.42,422838.80000000005
0.35000000000000003,0.43,422838.80000000005
0.35000000000000003,0.44,422705.85
0.35000000000000003,0.45,422705.85
0.35000000000000003,0.46,422640.25
0.35000000000000003,0.47000000000000003,422906.83
0.35000000000000003,0.48,422970.51
0.35000000000000003,0.49,422970.51
0.35000000000000003,0.5,422970.51
0.35000000000000003,0.51,422987.23
0.35000000000000003,0.52,422775.85
0.35000000000000003,0.53,422776.42000000004
0.35000000000000003,0.54,422972.99
0.35000000000000003,0.55,422830.27
0.35000000000000003,0.56,422903.43000000005
0.35000000000000003,0.5700000000000001,422618.95000000007
0.35000000000000003,0.58,423077.0900000001
0.35000000000000003,0.59,422953.68000000005
0.35000000000000003,0.6,422766.18000000005
0.35000000000000003,0.61,422205.5
0.35000000000000003,0.62,422118.35
0.35000000000000003,0.63,419962.23000000004
0.35000000000000003,0.64,420173.2
0.35000000000000003,0.65,418789.68
0.35000000000000003,0.66,418789.68
0.35000000000000003,0.67,418789.68
0.35000000000000003,0.68,418789.68
0.35000000000000003,0.6900000000000001,418965.78
0.35000000000000003,0.7000000000000001,419071.27
0.35000000000000003,0.71,419102.0
0.35000000000000003,0.72,419102.0
0.35000000000000003,0.73,419102.0
0.35000000000000003,0.74,419035.11
0.35000000000000003,0.75,419035.11
0.35000000000000003,0.76,419035.11
0.35000000000000003,0.77,419035.11
0.35000000000000003,0.78,419241.29
0.35000000000000003,0.79,419241.29
0.35000000000000003,0.8,419241.29
0.35000000000000003,0.81,419241.29
0.35000000000000003,0.8200000000000001,419241.29
0.35000000000000003,0.8300000000000001,419219.63
0.35000000000000003,0.84,419266.83999999997
0.35000000000000003,0.85,419266.83999999997
0.35000000000000003,0.86,419266.83999999997
0.35000000000000003,0.87,419266.83999999997
0.35000000000000003,0.88,419266.83999999997
0.35000000000000003,0.89,419266.83999999997
0.35000000000000003,0.9,419266.83999999997
0.35000000000000003,0.91,419266.83999999997
0.35000000000000003,0.92,419319.65
0.35000000000000003,0.93,419319.65
0.35000000000000003,0.9400000000000001,419319.65
0.35000000000000003,0.9500000000000001,419319.65
0.35000000000000003,0.96,419319.65
0.35000000000000003,0.97,419319.65
0.35000000000000003,0.98,419319.65
0.35000000000000003,0.99,419319.65
0.35000000000000003,1.0,419319.65
0.36,0.0,274261.54000000004
0.36,0.01,379653.87
0.36,0.02,386396.72
0.36,0.03,392025.12
0.36,0.04,397838.87
0.36,0.05,401359.58
0.36,0.06,403259.06000000006
0.36,0.07,405898.24
0.36,0.08,405226.39
0.36,0.09,406885.48
0.36,0.1,409752.81
0.36,0.11,410616.13
0.36,0.12,410888.73
0.36,0.13,410777.81
0.36,0.14,411473.01
0.36,0.15,411837.49
0.36,0.16,413064.37
0.36,0.17,413179.0
0.36,0.18,413558.65
0.36,0.19,413649.06000000006
0.36,0.2,414753.19000000006
0.36,0.21,415492.32
0.36,0.22,416529.47
0.36,0.23,417092.01
0.36,0.24,417368.8
0.36,0.25,417878.83
0.36,0.26,418617.68
0.36,0.27,419092.87
0.36,0.28,419123.4
0.36,0.29,419251.37
0.36,0.3,419251.37
0.36,0.31,420642.98
0.36,0.32,420964.38
0.36,0.33,420944.99
0.36,0.34,421056.62
0.36,0.35000000000000003,421202.08999999997
0.36,0.36,421826.15
0.36,0.37,421851.26
0.36,0.38,422016.99
0.36,0.39,421999.7
0.36,0.4,422205.88
0.36,0.41000000000000003,422686.17000000004
0.36,0.42,423021.61
0.36,0.43,422838.80000000005
0.36,0.44,422888.66000000003
0.36,0.45,422630.64
0.36,0.46,422630.64
0.36,0.47000000000000003,422815.77
0.36,0.48,422825.38
0.36,0.49,422970.51
0.36,0.5,422987.23
0.36,0.51,422856.91000000003
0.36,0.52,422881.34
0.36,0.53,422775.85
0.36,0.54,422633.13
0.36,0.55,422510.29000000004
0.36,0.56,422669.2
0.36,0.5700000000000001,422669.2
0.36,0.58,422742.36000000004
0.36,0.59,422578.4600000001
0.36,0.6,422653.15
0.36,0.61,422193.8
0.36,0.62,419841.11
0.36,0.63,420100.04000000004
0.36,0.64,418900.13
0.36,0.65,418789.68
0.36,0.66,418789.68
0.36,0.67,418789.68
0.36,0.68,418789.68
0.36,0.6900000000000001,418789.68
0.36,0.7000000000000001,418789.68
0.36,0.71,418965.78
0.36,0.72,419071.27
0.36,0.73,419102.0
0.36,0.74,419102.0
0.36,0.75,419102.0
0.36,0.76,419035.11
0.36,0.77,419035.11
0.36,0.78,419035.11
0.36,0.79,419035.11
0.36,0.8,419241.29
0.36,0.81,419241.29
0.36,0.8200000000000001,419241.29
0.36,0.8300000000000001,419241.29
0.36,0.84,419241.29
0.36,0.85,419241.29
0.36,0.86,419219.63
0.36,0.87,419266.83999999997
0.36,0.88,419266.83999999997
0.36,0.89,419266.83999999997
0.36,0.9,419266.83999999997
0.36,0.91,419266.83999999997
0.36,0.92,419266.83999999997
0.36,0.93,419266.83999999997
0.36,0.9400000000000001,419319.65
0.36,0.9500000000000001,419319.65
0.36,0.96,419319.65
0.36,0.97,419319.65
0.36,0.98,419319.65
0.36,0.99,419319.65
0.36,1.0,419319.65
0.37,0.0,274168.06
0.37,0.01,379554.43000000005
0.37,0.02,385762.27
0.37,0.03,392107.6
0.37,0.04,397143.30000000005
0.37,0.05,400170.04000000004
0.37,0.06,401924.06
0.37,0.07,405505.71
0.37,0.08,404943.75
0.37,0.09,406893.59
0.37,0.1,408326.63
0.37,0.11,410686.77
