a,b,res
0.01,0.9500000000000001,427494.5
0.01,0.96,426853.17
0.01,0.97,425370.41000000003
0.01,0.98,424048.39
0.01,0.99,419672.43
0.01,1.0,419365.41000000003
0.02,0.0,279463.41000000003
0.02,0.01,404632.51
0.02,0.02,407297.76
0.02,0.03,408602.47000000003
0.02,0.04,408379.20999999996
0.02,0.05,411260.76
0.02,0.06,415860.12
0.02,0.07,418790.80000000005
0.02,0.08,419175.32
0.02,0.09,419533.31999999995
0.02,0.1,421486.54000000004
0.02,0.11,418685.6
0.02,0.12,418237.38
0.02,0.13,417938.36
0.02,0.14,418942.83999999997
0.02,0.15,419147.1
0.02,0.16,418794.97
0.02,0.17,419025.5
0.02,0.18,419245.99000000005
0.02,0.19,420457.81
0.02,0.2,421488.74
0.02,0.21,421859.9
0.02,0.22,422146.12
0.02,0.23,422730.24
0.02,0.24,422763.89999999997
0.02,0.25,423892.37
0.02,0.26,424098.51
0.02,0.27,423846.35
0.02,0.28,424035.82999999996
0.02,0.29,424280.6
0.02,0.3,424656.82
0.02,0.31,425379.93
0.02,0.32,425271.56
0.02,0.33,425551.29
0.02,0.34,426148.6
0.02,0.35000000000000003,426120.76
0.02,0.36,426256.61
0.02,0.37,426260.52999999997
0.02,0.38,426268.39999999997
0.02,0.39,426379.39
0.02,0.4,426575.66000000003
0.02,0.41000000000000003,426807.02
0.02,0.42,426813.73
0.02,0.43,426884.56
0.02,0.44,426795.79
0.02,0.45,426869.57999999996
0.02,0.46,426960.1
0.02,0.47000000000000003,427135.9
0.02,0.48,427251.52999999997
0.02,0.49,427251.52999999997
0.02,0.5,427143.93999999994
0.02,0.51,427143.93999999994
0.02,0.52,427119.14
0.02,0.53,427119.14
0.02,0.54,427068.04
0.02,0.55,426494.19999999995
0.02,0.56,426538.31
0.02,0.5700000000000001,426648.28
0.02,0.58,426648.28
0.02,0.59,426607.29000000004
0.02,0.6,426590.0
0.02,0.61,426590.0
0.02,0.62,426894.19
0.02,0.63,426894.19
0.02,0.64,426840.64
0.02,0.65,426840.64
0.02,0.66,426840.64
0.02,0.67,426790.78
0.02,0.68,426790.78
0.02,0.6900000000000001,426790.78
0.02,0.7000000000000001,426790.78
0.02,0.71,426881.3
0.02,0.72,426975.91
0.02,0.73,426975.91
0.02,0.74,426975.91
0.02,0.75,426975.91
0.02,0.76,426959.19
0.02,0.77,427014.72000000003
0.02,0.78,427014.72000000003
0.02,0.79,426962.25
0.02,0.8,426962.25
0.02,0.81,426962.25
0.02,0.8200000000000001,427378.64
0.02,0.8300000000000001,427378.64
0.02,0.84,427378.64
0.02,0.85,427378.64
0.02,0.86,427378.64
0.02,0.87,427378.64
0.02,0.88,427290.43999999994
0.02,0.89,427303.61
0.02,0.9,427405.73
0.02,0.91,426852.60000000003
0.02,0.92,426764.39999999997
0.02,0.93,425696.77
0.02,0.9400000000000001,425281.64
0.02,0.9500000000000001,424639.81000000006
0.02,0.96,424048.39
0.02,0.97,424035.39999999997
0.02,0.98,419672.43
0.02,0.99,419365.41000000003
0.02,1.0,419365.41000000003
0.03,0.0,279463.41000000003
0.03,0.01,402024.47
0.03,0.02,407066.14
0.03,0.03,408522.07
0.03,0.04,408206.47
0.03,0.05,412470.98000000004
0.03,0.06,415651.32999999996
0.03,0.07,418081.9
0.03,0.08,418401.99
0.03,0.09,419338.16
0.03,0.1,419960.98000000004
0.03,0.11,418636.55000000005
0.03,0.12,417895.86
0.03,0.13,418140.28
0.03,0.14,419016.26
0.03,0.15,418426.94
0.03,0.16,418919.49
0.03,0.17,419366.42000000004
0.03,0.18,418947.44000000006
0.03,0.19,420338.17
0.03,0.2,421506.13
0.03,0.21,421466.27
0.03,0.22,421955.01999999996
0.03,0.23,422539.13999999996
0.03,0.24,422703.76999999996
0.03,0.25,423701.27
0.03,0.26,423995.31
0.03,0.27,423846.35
0.03,0.28,424035.82999999996
0.03,0.29,424280.6
0.03,0.3,424782.48
0.03,0.31,425379.93
0.03,0.32,425228.73
0.03,0.33,425892.74
0.03,0.34,426148.6
0.03,0.35000000000000003,426211.28
0.03,0.36,426290.32999999996
0.03,0.37,426260.52999999997
0.03,0.38,426288.87
0.03,0.39,426467.29000000004
0.03,0.4,426684.03
0.03,0.41000000000000003,426807.02
0.03,0.42,426821.31
0.03,0.43,426884.56
0.03,0.44,426761.20999999996
0.03,0.45,426960.1
0.03,0.46,427048.0
0.03,0.47000000000000003,427226.42
0.03,0.48,427251.52999999997
0.03,0.49,427253.91
0.03,0.5,427143.93999999994
0.03,0.51,427143.93999999994
0.03,0.52,427119.14
0.03,0.53,427068.04
0.03,0.54,427068.04
0.03,0.55,426564.3
0.03,0.56,426648.28
0.03,0.5700000000000001,426648.28
0.03,0.58,426648.28
0.03,0.59,426607.29000000004
0.03,0.6,426590.0
0.03,0.61,426894.19
0.03,0.62,426894.19
0.03,0.63,426840.64
0.03,0.64,426840.64
0.03,0.65,426840.64
0.03,0.66,426790.78
0.03,0.67,426790.78
0.03,0.68,426790.78
0.03,0.6900000000000001,426790.78
0.03,0.7000000000000001,426881.3
0.03,0.71,426975.91
0.03,0.72,426975.91
0.03,0.73,426975.91
0.03,0.74,426975.91
0.03,0.75,426959.19
0.03,0.76,426959.19
0.03,0.77,427014.72000000003
0.03,0.78,426962.25
0.03,0.79,426962.25
0.03,0.8,426962.25
0.03,0.81,427289.87
0.03,0.8200000000000001,427290.43999999994
0.03,0.8300000000000001,427290.43999999994
0.03,0.84,427429.92
0.03,0.85,427228.25
0.03,0.86,426926.55000000005
0.03,0.87,426586.92000000004
0.03,0.88,426586.92
0.03,0.89,425751.99
0.03,0.9,425595.57999999996
0.03,0.91,425281.64
0.03,0.92,425103.33999999997
0.03,0.93,424512.28
0.03,0.9400000000000001,424048.39
0.03,0.9500000000000001,424035.39999999997
0.03,0.96,424035.39999999997
0.03,0.97,419672.43
0.03,0.98,419365.41000000003
0.03,0.99,419365.41000000003
0.03,1.0,419365.41000000003
0.04,0.0,279463.41000000003
0.04,0.01,398798.18
0.04,0.02,406637.29000000004
0.04,0.03,408497.38
0.04,0.04,408819.04000000004
0.04,0.05,411831.66000000003
0.04,0.06,415590.04000000004
0.04,0.07,418569.91000000003
0.04,0.08,418010.41000000003
0.04,0.09,419198.1
0.04,0.1,418778.98
0.04,0.11,418289.73
0.04,0.12,417139.82
0.04,0.13,417191.19
0.04,0.14,418986.31000000006
0.04,0.15,418985.95
0.04,0.16,419083.88
0.04,0.17,420035.08
0.04,0.18,419071.96
0.04,0.19,420462.69
0.04,0.2,421595.73
0.04,0.21,421971.17
0.04,0.22,422079.54
0.04,0.23,422810.12999999995
0.04,0.24,423005.64999999997
0.04,0.25,423789.9
0.04,0.26,424113.7
0.04,0.27,423608.57
0.04,0.28,424089.5
0.04,0.29,424357.35
0.04,0.3,424853.32
0.04,0.31,425188.83
0.04,0.32,425346.07999999996
0.04,0.33,425829.57
0.04,0.34,425957.5
0.04,0.35000000000000003,426020.18
0.04,0.36,426260.52999999997
0.04,0.37,426268.39999999997
0.04,0.38,426379.39
0.04,0.39,426575.66000000003
0.04,0.4,426807.02
0.04,0.41000000000000003,426901.63
0.04,0.42,426884.56
0.04,0.43,426884.56
0.04,0.44,426869.57999999996
0.04,0.45,426960.1
0.04,0.46,427135.9
0.04,0.47000000000000003,427251.52999999997
0.04,0.48,427251.52999999997
0.04,0.49,427143.93999999994
0.04,0.5,427143.93999999994
0.04,0.51,427119.14
0.04,0.52,427119.14
0.04,0.53,427068.04
0.04,0.54,426564.3
0.04,0.55,426538.31
0.04,0.56,426648.28
0.04,0.5700000000000001,426648.28
0.04,0.58,426607.29000000004
0.04,0.59,426590.0
0.04,0.6,426590.0
0.04,0.61,426894.19
0.04,0.62,426840.64
0.04,0.63,426840.64
0.04,0.64,426840.64
0.04,0.65,426790.78
0.04,0.66,426790.78
0.04,0.67,426790.78
0.04,0.68,426790.78
0.04,0.6900000000000001,426790.78
0.04,0.7000000000000001,426881.3
0.04,0.71,426975.91
0.04,0.72,426975.91
0.04,0.73,426975.91
0.04,0.74,426959.19
0.04,0.75,426959.19
0.04,0.76,426926.52
0.04,0.77,426874.05
0.04,0.78,426887.22
0.04,0.79,427013.52999999997
0.04,0.8,427115.05
0.04,0.81,427191.15
0.04,0.8200000000000001,426675.12
0.04,0.8300000000000001,426662.13
0.04,0.84,426586.92
0.04,0.85,425840.14
0.04,0.86,425519.29000000004
0.04,0.87,425375.27
0.04,0.88,425281.64
0.04,0.89,425103.33999999997
0.04,0.9,424551.04000000004
0.04,0.91,424512.28
0.04,0.92,423959.62
0.04,0.93,424035.39999999997
0.04,0.9400000000000001,424035.39999999997
0.04,0.9500000000000001,423911.99
0.04,0.96,419672.43
0.04,0.97,419365.41000000003
0.04,0.98,419365.41000000003
0.04,0.99,419365.41000000003
0.04,1.0,419365.41000000003
0.05,0.0,279463.41000000003
0.05,0.01,396668.7
0.05,0.02,406281.15
0.05,0.03,407877.12
0.05,0.04,409301.79000000004
0.05,0.05,412343.57
0.05,0.06,415023.60000000003
0.05,0.07,418397.17000000004
0.05,0.08,417917.7
0.05,0.09,419261.54000000004
0.05,0.1,417478.97
0.05,0.11,418443.25
0.05,0.12,416619.33
0.05,0.13,417304.52
0.05,0.14,418495.98000000004
0.05,0.15,418376.3
0.05,0.16,418310.55000000005
0.05,0.17,420112.93000000005
0.05,0.18,419362.48000000004
0.05,0.19,420602.76
0.05,0.2,421807.32
0.05,0.21,422013.86
0.05,0.22,422183.5
0.05,0.23,422697.31999999995
0.05,0.24,423694.62
0.05,0.25,424007.13
0.05,0.26,424238.22
0.05,0.27,423951.95999999996
0.05,0.28,424089.5
0.05,0.29,424465.72000000003
0.05,0.3,425188.83
0.05,0.31,425080.46
0.05,0.32,425360.19
0.05,0.33,425957.5
0.05,0.34,425929.66000000003
0.05,0.35000000000000003,426065.51
0.05,0.36,426069.43
0.05,0.37,425989.39999999997
0.05,0.38,426276.19
0.05,0.39,426384.56000000006
0.05,0.4,426615.92000000004
